show_id	type	title	country	release_year
s1	TV Show	3%	Brazil	2020
s2	Movie	7:19	Mexico	2016
s3	Movie	23:59	Singapore	2011
s4	Movie	9	United States	2009
s5	Movie	21	United States	2008
s6	TV Show	46	Turkey	2016
s7	Movie	122	Egypt	2019
s8	Movie	187	United States	1997
s9	Movie	706	India	2019
s10	Movie	1920	India	2008
s11	Movie	1922	United States	2017
s12	TV Show	1983	Poland, United States	2018
s13	TV Show	1994	Mexico	2019
s14	Movie	2,215	Thailand	2018
s15	Movie	3022	United States	2019
s16	Movie	Oct-01	Nigeria	2014
s17	TV Show	Feb-09		2018
s18	Movie	22-Jul	Norway, Iceland, United States	2018
s19	Movie	15-Aug	India	2019
s20	Movie	89	United Kingdom	2017
s21	Movie	​​Kuch Bheege Alfaaz	India	2018
s22	Movie	​Goli Soda 2	India	2018
s23	Movie	​Maj Rati ​​Keteki	India	2017
s24	Movie	​Mayurakshi	India	2017
s25	TV Show	​SAINT SEIYA: Knights of the Zodiac	Japan	2020
s26	Movie	(T)ERROR	United States	2015
s27	TV Show	(Un)Well	United States	2020
s28	Movie	#Alive	South Korea	2020
s29	Movie	#AnneFrank - Parallel Stories	Italy	2019
s30	TV Show	#blackAF	United States	2020
s31	Movie	#cats_the_mewvie	Canada	2020
s32	Movie	#FriendButMarried	Indonesia	2018
s33	Movie	#FriendButMarried 2	Indonesia	2020
s34	Movie	#realityhigh	United States	2017
s35	Movie	#Roxy	Canada	2018
s36	Movie	#Rucker50	United States	2016
s37	Movie	#Selfie	Romania	2014
s38	Movie	#Selfie 69	Romania	2016
s39	TV Show	แผนร้ายนายเจ้าเล่ห์		2016
s40	Movie	¡Ay, mi madre!	Spain	2019
s41	Movie	Çarsi Pazar	Turkey	2015
s42	Movie	Ég man þig	Iceland	2017
s43	Movie	Çok Filim Hareketler Bunlar	Turkey	2010
s44	Movie	Òlòtūré	Nigeria	2020
s45	Movie	Æon Flux	United States	2005
s46	TV Show	Şubat	Turkey	2013
s47	Movie	1 Chance 2 Dance	United States	2014
s48	Movie	1 Mile to You	United States	2017
s49	Movie	10 Days in Sun City	South Africa, Nigeria	2017
s50	Movie	10 jours en or	France	2012
s51	Movie	10,000 B.C.	United States, South Africa	2008
s52	TV Show	100 Days My Prince	South Korea	2018
s53	Movie	100 Days Of Solitude	Spain	2018
s54	TV Show	100 Humans	United States	2020
s55	Movie	100 Meters	Portugal, Spain	2016
s56	Movie	100 Things to do Before High School	United States	2014
s57	Movie	100 Years: One Woman's Fight for Justice	United States	2016
s58	Movie	100% Halal	Indonesia	2020
s59	TV Show	100% Hotter	United Kingdom	2017
s60	Movie	1000 Rupee Note	India	2014
s61	Movie	12 ROUND GUN	United States	2017
s62	TV Show	12 Years Promise	South Korea	2014
s63	Movie	13 Cameras	United States	2015
s64	TV Show	13 Reasons Why	United States	2020
s65	TV Show	13 Reasons Why: Beyond the Reasons	United States	2019
s66	Movie	13 Sins	United States	2014
s67	Movie	13TH	United States	2016
s68	Movie	13TH: A Conversation with Oprah Winfrey & Ava DuVernay		2017
s69	Movie	14 Blades	Hong Kong, China, Singapore	2010
s70	Movie	14 Cameras	United States	2018
s71	Movie	14 Minutes from Earth	United States	2016
s72	Movie	16 Blocks	United States, Germany	2006
s73	Movie	17 Again	United States	2009
s74	Movie	18 Presents	Italy	2020
s75	Movie	1898: Our Last Men in the Philippines	Spain	2016
s76	Movie	1BR	United States	2019
s77	Movie	1st Summoning	United States	2018
s78	Movie	2 Alone in Paris	France	2008
s79	Movie	2 States	India	2014
s80	Movie	20 Feet From Stardom	United States	2013
s81	TV Show	20 Minutes	Turkey	2013
s82	Movie	2015 Dream Concert	South Korea	2015
s83	Movie	2036 Origin Unknown	United Kingdom	2018
s84	Movie	20th Century Women	United States	2016
s85	Movie	21 & Over	United States	2013
s86	TV Show	21 Again	United Kingdom	2019
s87	TV Show	21 Sarfarosh: Saragarhi 1897	India	2018
s88	TV Show	21 Thunder	Canada	2017
s89	Movie	2307: Winter's Dream	United States	2016
s90	Movie	24 Hours to Live	South Africa, China, United States	2017
s91	Movie	25 Kille	India	2016
s92	Movie	26 Years	South Korea	2012
s93	Movie	27, el club de los malditos	Argentina	2018
s94	Movie	27: Gone Too Soon	United Kingdom	2017
s95	Movie	28 Days	United States	2000
s96	TV Show	28 Moons	South Korea	2016
s97	Movie	3 Days to Kill	United States, France, Serbia	2014
s98	Movie	3 Deewarein		2003
s99	Movie	3 Generations	United States	2015
s100	Movie	3 Heroines	Indonesia	2016
s101	Movie	3 Idiots	India	2009
